mark_id,ssl_domain,fewshot_acc,pearson_r,pearson_p
3a78f665,0.8935337066650391,1.0,0.03483793511330221,0.4360698771580772
dd7507a8,0.8777070641517639,1.0,0.03483793511330221,0.4360698771580772
884a5030,0.9328370690345764,0.8,0.03483793511330221,0.4360698771580772
37642ad4,0.8767081499099731,0.8,0.03483793511330221,0.4360698771580772
ebe2f6ea,0.8654251098632812,0.76,0.03483793511330221,0.4360698771580772
a3981068,0.90569806098938,1.0,0.03483793511330221,0.4360698771580772
3b3b7604,0.9325964450836182,0.9333333333333332,0.03483793511330221,0.4360698771580772
4ad00dc6,0.8863720297813416,1.0,0.03483793511330221,0.4360698771580772
41708f2f,0.9061741232872008,1.0,0.03483793511330221,0.4360698771580772
f8303a81,0.9414583444595336,0.4,0.03483793511330221,0.4360698771580772
68498a17,0.8654363751411438,0.0,0.03483793511330221,0.4360698771580772
e3df7356,0.8656851649284363,0.8,0.03483793511330221,0.4360698771580772
a631a589,0.8436892628669739,1.0,0.03483793511330221,0.4360698771580772
48a6890f,0.8296135663986206,0.4,0.03483793511330221,0.4360698771580772
82b164ee,0.8578813672065735,0.7,0.03483793511330221,0.4360698771580772
7405c59b,0.9161106944084167,1.0,0.03483793511330221,0.4360698771580772
05835cd7,0.889153003692627,0.95,0.03483793511330221,0.4360698771580772
8638f439,0.9671275019645692,0.95,0.03483793511330221,0.4360698771580772
863b024c,0.9194963574409484,1.0,0.03483793511330221,0.4360698771580772
4f18ba05,0.9539071321487428,0.4,0.03483793511330221,0.4360698771580772
eb4fb780,0.8546536564826965,0.6,0.03483793511330221,0.4360698771580772
c34596f1,0.8847044706344604,0.8,0.03483793511330221,0.4360698771580772
01d8538d,0.8632760643959045,0.6,0.03483793511330221,0.4360698771580772
f8bf1679,0.9231614470481871,0.8,0.03483793511330221,0.4360698771580772
ace6a292,0.9137343764305116,0.8666666666666667,0.03483793511330221,0.4360698771580772
594ec3f0,0.915363073348999,1.0,0.03483793511330221,0.4360698771580772
010600bf,0.895584225654602,0.6,0.03483793511330221,0.4360698771580772
cf8a06d8,0.9256315231323242,1.0,0.03483793511330221,0.4360698771580772
1b29a7a2,0.9138001799583436,0.6,0.03483793511330221,0.4360698771580772
5802cbd8,0.8932209610939026,0.8666666666666667,0.03483793511330221,0.4360698771580772
e5f86389,0.8218119740486145,0.8,0.03483793511330221,0.4360698771580772
880cf45a,0.916877031326294,0.9,0.03483793511330221,0.4360698771580772
f11f14e4,0.9412975311279296,0.7333333333333333,0.03483793511330221,0.4360698771580772
6fb3f44d,0.8902431130409241,1.0,0.03483793511330221,0.4360698771580772
f9498f7e,0.9399587512016296,0.9,0.03483793511330221,0.4360698771580772
0fb95c85,0.9221839308738708,0.6,0.03483793511330221,0.4360698771580772
eca01b0f,0.9144672155380248,1.0,0.03483793511330221,0.4360698771580772
80b9ff28,0.919868528842926,0.9333333333333332,0.03483793511330221,0.4360698771580772
841377be,0.9238557815551758,0.8,0.03483793511330221,0.4360698771580772
4e1d519c,0.8649592399597168,0.6,0.03483793511330221,0.4360698771580772
5748e901,0.9256237745285034,1.0,0.03483793511330221,0.4360698771580772
22a7ce96,0.8969364166259766,1.0,0.03483793511330221,0.4360698771580772
29ef1c7f,0.8812628388404846,1.0,0.03483793511330221,0.4360698771580772
2d913fef,0.8893184661865234,1.0,0.03483793511330221,0.4360698771580772
97921a0b,0.8280997276306152,1.0,0.03483793511330221,0.4360698771580772
20fe58d6,0.8741452693939209,1.0,0.03483793511330221,0.4360698771580772
3884f427,0.9533039331436156,0.9,0.03483793511330221,0.4360698771580772
ccd544bc,0.8426839709281921,0.9333333333333332,0.03483793511330221,0.4360698771580772
7bfff1d3,0.9445970058441162,0.7,0.03483793511330221,0.4360698771580772
